_id|master_label|organization_label|client_id|client_label
1|line_id|INBOX AMERICA|ria|RIANA
2|cont_id|INBOX AMERICA|ria|RIANA
3|cont_initial_contact_date|INBOX AMERICA|ria|RIANA
4|cont_status|INBOX AMERICA|ria|RIANA
5|cont_segment|INBOX AMERICA|ria|RIANA
6|cont_civility|INBOX AMERICA|ria|RIANA
7|cont_firstname|INBOX AMERICA|ria|RIANA
8|cont_lastname|INBOX AMERICA|ria|RIANA
9|cont_title|INBOX AMERICA|ria|RIANA
10|cont_email|INBOX AMERICA|ria|RIANA
11|cont_cellphone|INBOX AMERICA|ria|RIANA
12|cont_comment|INBOX AMERICA|ria|RIANA
13|cont_residency_state|INBOX AMERICA|ria|RIANA
14|cont_residency_street|INBOX AMERICA|ria|RIANA
15|cont_residency_street_compl01|INBOX AMERICA|ria|RIANA
16|cont_residency_city|INBOX AMERICA|ria|RIANA
17|cont_residency_zip|INBOX AMERICA|ria|RIANA
18|cont_company_name|INBOX AMERICA|ria|RIANA
19|cont_company_state|INBOX AMERICA|ria|RIANA
20|cont_company_street|INBOX AMERICA|ria|RIANA
21|cont_company_city|INBOX AMERICA|ria|RIANA
22|cont_company_zip|INBOX AMERICA|ria|RIANA
23|transaction_id|INBOX AMERICA|ria|RIANA
24|transaction_date|INBOX AMERICA|ria|RIANA
25|transaction_amount_tax|INBOX AMERICA|ria|RIANA
26|transaction_amount_net|INBOX AMERICA|ria|RIANA
27|payment_date|INBOX AMERICA|ria|RIANA
28|delivery_date|INBOX AMERICA|ria|RIANA
29|prod_id|INBOX AMERICA|ria|RIANA
30|prod_price_tax|INBOX AMERICA|ria|RIANA
31|prod_price_net|INBOX AMERICA|ria|RIANA
32|prod_family|INBOX AMERICA|ria|RIANA
33|prod_subfamily|INBOX AMERICA|ria|RIANA
34|prod_category|INBOX AMERICA|ria|RIANA
35|prod_name|INBOX AMERICA|ria|RIANA
36|prod_style|INBOX AMERICA|ria|RIANA
37|prod_collection|INBOX AMERICA|ria|RIANA
38|prod_fabric|INBOX AMERICA|ria|RIANA
39|prod_color|INBOX AMERICA|ria|RIANA
40|sales_id|INBOX AMERICA|ria|RIANA
41|sales_firstname|INBOX AMERICA|ria|RIANA
42|sales_lastname|INBOX AMERICA|ria|RIANA
43|sales_title|INBOX AMERICA|ria|RIANA
44|sales_email|INBOX AMERICA|ria|RIANA
45|store_id|INBOX AMERICA|ria|RIANA
46|store_name|INBOX AMERICA|ria|RIANA
47|store_manager_flag|INBOX AMERICA|ria|RIANA
48|store_address|INBOX AMERICA|ria|RIANA
49|store_phone|INBOX AMERICA|ria|RIANA
50|store_city|INBOX AMERICA|ria|RIANA
51|store_state|INBOX AMERICA|ria|RIANA
52|date_of_record|INBOX AMERICA|ria|RIANA
53|state_of_stock_01|INBOX AMERICA|ria|RIANA
54|state_of_stock_02|INBOX AMERICA|ria|RIANA
55|other01|INBOX AMERICA|ria|RIANA
56|other02|INBOX AMERICA|ria|RIANA
57|other03|INBOX AMERICA|ria|RIANA
58|other04|INBOX AMERICA|ria|RIANA
59|other05|INBOX AMERICA|ria|RIANA
60|other06|INBOX AMERICA|ria|RIANA
61|other07|INBOX AMERICA|ria|RIANA
62|other08|INBOX AMERICA|ria|RIANA
63|other09|INBOX AMERICA|ria|RIANA
64|other10|INBOX AMERICA|ria|RIANA
