cont_id,transaction_id,line_id,transaction_date,prod_price_net,prod_id,prod_family,cont_residency_zip,cont_residency_city,store_name
100504335,100503936,10010,10/11/2019,67023,100059589,COMPLEMENTARY PIECES,,TAMUING   GUAM     96913,BOSTON
100406909,100402572,10002,3/30/2017,1101,101101914,SERVICE NO MARGIN,60007,ELK GROVE VILLAGE,
100006079,100007232,10005,5/21/2013,8530,100055307,SERVICE NO MARGIN,10019,NEW YORK,
100202212,100202600,10003,4/28/2018,470,101101914,SERVICE NO MARGIN,19809,Wilmington,
100013023,100019059,10004,3/19/2019,20844,790199694,SOFAS,11743,HUNTINGTON,
100003470,100003687,10009,9/8/2010,20000,790005573,SOFAS,32176,,MADISON
100001289,100001237,10003,11/25/2007,13127,900069324,SALON SIEGES,19348,KENNETH SQUARE,
100200992,100202033,10006,11/15/2016,17872,790022792,BEDDING,19147,PHILADELPHIA,
102800172,102800156,10002,8/10/2019,17944,102800277,COMPLEMENTARY PIECES,11109,LONG ISLAND CITY,
100201816,100201679,10011,9/18/2015,9946,100200116,DECO OBJETS DE DECORAT,19102,PHILADELPHIA ,
101702128,101702657,10009,12/4/2017,23130,100054738,SALON SIEGES,10022,NEW YORK,
101501974,101502488,10005,2/7/2017,15866,101101914,SERVICE NO MARGIN,1060,CARACAS,CORAL GABLES
101701254,101701347,10002,2/10/2016,4836,100054273,SERVICE NO MARGIN,10022,NEW YORK,
100011164,102500683,10001,12/5/2018,4431,790242992,STORAGE UNITS,10018,NEW YORK,
101502130,101502600,10001,4/29/2017,4427,790048136,CHAIRS,33134,Coral Gables,
100003217,100004284,10003,4/20/2011,3687,790069942,CHAIRS,10023,NEW YORK,
100405605,100400737,10005,5/19/2013,29094,790110513,SOFAS,60010,BARRINGTON HILLS,
101501770,101502061,10002,5/20/2016,130,101500874,ACCESSORIES,34108,NAPLES,
101501779,101502081,10016,5/31/2016,105140,790154009,ACCESSORIES,,,CORAL GABLES
100202640,100203038,10003,5/11/2019,21350,100058351,DECO OBJETS DE DECORAT,8033,HADDONFIELD,
100003798,100013269,10002,9/25/2016,5112,101101914,SERVICE NO MARGIN,11211,BROOKLYN,
